Gene	sgRNA	eff
BMPR1A	BMPR1A_sg4	1
BNC1	BNC1_sg1	1
BNC1	BNC1_sg2	1
BNC1	BNC1_sg3	1
BNC1	BNC1_sg4	1
BNIP1	BNIP1_sg1	1
BNIP1	BNIP1_sg2	1
BNIP1	BNIP1_sg3	1
BNIP1	BNIP1_sg4	1
BNIP2	BNIP2_sg1	1
BNIP2	BNIP2_sg2	1
BNIP2	BNIP2_sg3	1
BNIP2	BNIP2_sg4	1
BOK	BOK_sg1	1
BOK	BOK_sg2	1
BOK	BOK_sg3	1
BOK	BOK_sg4	1
BOP1	BOP1_sg1	1
BOP1	BOP1_sg2	1
BOP1	BOP1_sg3	1
BOP1	BOP1_sg4	1
BORA	BORA_sg1	1
BORA	BORA_sg2	1
BORA	BORA_sg3	1
BORA	BORA_sg4	1
BRAP	BRAP_sg1	1
BRAP	BRAP_sg2	1
BRAP	BRAP_sg3	1
BRAP	BRAP_sg4	1
BRCA1	BRCA1_sg1	1
BRCA1	BRCA1_sg2	1
BRCA1	BRCA1_sg3	1
BRCA1	BRCA1_sg4	1
BRCA2	BRCA2_sg1	1
BRCA2	BRCA2_sg2	1
BRCA2	BRCA2_sg3	1
BRCA2	BRCA2_sg4	1
BRCC3	BRCC3_sg1	1
BRCC3	BRCC3_sg2	1
BRCC3	BRCC3_sg3	1
BRCC3	BRCC3_sg4	1
BRD1	BRD1_sg1	1
BRD1	BRD1_sg2	1
BRD1	BRD1_sg3	1
BRD1	BRD1_sg4	1
BRD4	BRD4_sg1	1
BRD4	BRD4_sg2	1
BRD4	BRD4_sg3	1
BRD4	BRD4_sg4	1
BRD7	BRD7_sg1	1
BRD7	BRD7_sg2	1
BRD7	BRD7_sg3	1
BRD7	BRD7_sg4	1
BRD8	BRD8_sg1	1
BRD8	BRD8_sg2	1
BRD8	BRD8_sg3	1
BRD8	BRD8_sg4	1
BRDT	BRDT_sg1	1
BRDT	BRDT_sg2	1
BRDT	BRDT_sg3	1
BRDT	BRDT_sg4	1
BRF1	BRF1_sg1	1
BRF1	BRF1_sg2	1
BRF1	BRF1_sg3	1
BRF1	BRF1_sg4	1
BRF2	BRF2_sg1	1
BRF2	BRF2_sg2	1
BRF2	BRF2_sg3	1
BRF2	BRF2_sg4	1
BRIP1	BRIP1_sg1	1
BRIP1	BRIP1_sg2	1
BRIP1	BRIP1_sg3	1
BRIP1	BRIP1_sg4	1
BRIX1	BRIX1_sg1	1
BRIX1	BRIX1_sg2	1
BRIX1	BRIX1_sg3	1
BRIX1	BRIX1_sg4	1
BRMS1L	BRMS1L_sg1	1
BRMS1L	BRMS1L_sg2	1
BRMS1L	BRMS1L_sg3	1
BRMS1L	BRMS1L_sg4	1
BRPF3	BRPF3_sg1	1
BRPF3	BRPF3_sg2	1
BRPF3	BRPF3_sg3	1
BRPF3	BRPF3_sg4	1
BRSK1	BRSK1_sg1	1
BRSK1	BRSK1_sg2	1
BRSK1	BRSK1_sg3	1
BRSK1	BRSK1_sg4	1
BRWD1	BRWD1_sg1	1
BRWD1	BRWD1_sg2	1
BRWD1	BRWD1_sg3	1
BRWD1	BRWD1_sg4	1
BSPRY	BSPRY_sg1	1
BSPRY	BSPRY_sg2	1
BSPRY	BSPRY_sg3	1
BSPRY	BSPRY_sg4	1
BTBD8	BTBD8_sg1	1
BTBD8	BTBD8_sg2	1
BTBD8	BTBD8_sg3	1
BTBD8	BTBD8_sg4	1
BTD	BTD_sg1	1
BTD	BTD_sg2	1
BTD	BTD_sg3	1
BTD	BTD_sg4	1
BTK	BTK_sg1	1
BTK	BTK_sg2	1
BTK	BTK_sg3	1
BTK	BTK_sg4	1
BUD31	BUD31_sg1	1
BUD31	BUD31_sg2	1
BUD31	BUD31_sg3	1
BUD31	BUD31_sg4	1
BYSL	BYSL_sg1	1
BYSL	BYSL_sg2	1
BYSL	BYSL_sg3	1
BYSL	BYSL_sg4	1
C10orf107	C10orf107_sg1	1
C10orf107	C10orf107_sg2	1
C10orf107	C10orf107_sg3	1
C10orf107	C10orf107_sg4	1
C10orf11	C10orf11_sg1	1
C10orf11	C10orf11_sg2	1
C10orf11	C10orf11_sg3	1
C10orf11	C10orf11_sg4	1
C10orf12	C10orf12_sg1	1
C10orf12	C10orf12_sg2	1
C10orf12	C10orf12_sg3	1
C10orf12	C10orf12_sg4	1
C10orf128	C10orf128_sg1	1
C10orf128	C10orf128_sg2	1
C10orf128	C10orf128_sg3	1
C10orf128	C10orf128_sg4	1
C10orf137	C10orf137_sg1	1
C10orf137	C10orf137_sg2	1
C10orf137	C10orf137_sg3	1
C10orf137	C10orf137_sg4	1
C10orf32	C10orf32_sg1	1
C10orf32	C10orf32_sg2	1
C10orf32	C10orf32_sg3	1
C10orf32	C10orf32_sg4	1
C10orf67	C10orf67_sg1	1
C10orf67	C10orf67_sg2	1
C10orf67	C10orf67_sg3	1
C10orf67	C10orf67_sg4	1
C11orf21	C11orf21_sg1	1
C11orf21	C11orf21_sg2	1
C11orf21	C11orf21_sg3	1
C11orf21	C11orf21_sg4	1
C11orf35	C11orf35_sg1	1
C11orf35	C11orf35_sg2	1
C11orf35	C11orf35_sg3	1
C11orf35	C11orf35_sg4	1
C11orf42	C11orf42_sg1	1
C11orf42	C11orf42_sg2	1
C11orf42	C11orf42_sg3	1
C11orf42	C11orf42_sg4	1
C11orf48	C11orf48_sg1	1
C11orf48	C11orf48_sg2	1
C11orf48	C11orf48_sg3	1
C11orf48	C11orf48_sg4	1
C11orf52	C11orf52_sg1	1
C11orf52	C11orf52_sg2	1
C11orf52	C11orf52_sg3	1
C11orf52	C11orf52_sg4	1
C11orf57	C11orf57_sg1	1
C11orf57	C11orf57_sg2	1
C11orf57	C11orf57_sg3	1
C11orf57	C11orf57_sg4	1
C11orf65	C11orf65_sg1	1
C11orf65	C11orf65_sg2	1
C11orf65	C11orf65_sg3	1
C11orf65	C11orf65_sg4	1
C11orf71	C11orf71_sg1	1
C11orf71	C11orf71_sg2	1
C11orf71	C11orf71_sg3	1
C11orf71	C11orf71_sg4	1
C11orf80	C11orf80_sg1	1
C11orf80	C11orf80_sg2	1
C11orf80	C11orf80_sg3	1
C11orf80	C11orf80_sg4	1
C11orf85	C11orf85_sg1	1
C11orf85	C11orf85_sg2	1
C11orf85	C11orf85_sg3	1
C11orf85	C11orf85_sg4	1
C11orf88	C11orf88_sg1	1
C11orf88	C11orf88_sg2	1
C11orf88	C11orf88_sg3	1
C11orf88	C11orf88_sg4	1
C11orf95	C11orf95_sg1	1
C11orf95	C11orf95_sg2	1
C11orf95	C11orf95_sg3	1
C11orf95	C11orf95_sg4	1
C11orf96	C11orf96_sg1	1
C11orf96	C11orf96_sg2	1
C11orf96	C11orf96_sg3	1
C11orf96	C11orf96_sg4	1
C12orf43	C12orf43_sg1	1
C12orf43	C12orf43_sg2	1
C12orf43	C12orf43_sg3	1
C12orf43	C12orf43_sg4	1
C12orf54	C12orf54_sg1	1
C12orf54	C12orf54_sg2	1
C12orf54	C12orf54_sg3	1
C12orf54	C12orf54_sg4	1
C12orf57	C12orf57_sg1	1
C12orf57	C12orf57_sg2	1
C12orf57	C12orf57_sg3	1
C12orf57	C12orf57_sg4	1
C12orf60	C12orf60_sg1	1
C12orf60	C12orf60_sg2	1
C12orf60	C12orf60_sg3	1
C12orf60	C12orf60_sg4	1
C12orf75	C12orf75_sg1	1
C12orf75	C12orf75_sg2	1
C12orf75	C12orf75_sg3	1
C12orf75	C12orf75_sg4	1
C12orf76	C12orf76_sg1	1
C12orf76	C12orf76_sg2	1
C12orf76	C12orf76_sg3	1
C12orf76	C12orf76_sg4	1
C13orf45	C13orf45_sg1	1
C13orf45	C13orf45_sg2	1
C13orf45	C13orf45_sg3	1
C13orf45	C13orf45_sg4	1
C14orf1	C14orf1_sg1	1
C14orf1	C14orf1_sg2	1
C14orf1	C14orf1_sg3	1
C14orf1	C14orf1_sg4	1
C14orf132	C14orf132_sg1	1
C14orf132	C14orf132_sg2	1
C14orf132	C14orf132_sg3	1
C14orf132	C14orf132_sg4	1
C14orf166B	C14orf166B_sg1	1
C14orf166B	C14orf166B_sg2	1
C14orf166B	C14orf166B_sg3	1
C14orf166B	C14orf166B_sg4	1
C14orf169	C14orf169_sg1	1
C14orf169	C14orf169_sg2	1
C14orf169	C14orf169_sg3	1
C14orf169	C14orf169_sg4	1
C14orf180	C14orf180_sg1	1
C14orf180	C14orf180_sg2	1
C14orf180	C14orf180_sg3	1
C14orf180	C14orf180_sg4	1
C14orf80	C14orf80_sg1	1
C14orf80	C14orf80_sg2	1
C14orf80	C14orf80_sg3	1
C14orf80	C14orf80_sg4	1
C15orf38	C15orf38_sg1	1
C15orf38	C15orf38_sg2	1
C15orf38	C15orf38_sg3	1
C15orf38	C15orf38_sg4	1
C15orf40	C15orf40_sg1	1
C15orf40	C15orf40_sg2	1
C15orf40	C15orf40_sg3	1
C15orf40	C15orf40_sg4	1
C15orf43	C15orf43_sg1	1
C15orf43	C15orf43_sg2	1
C15orf43	C15orf43_sg3	1
C15orf43	C15orf43_sg4	1
C15orf56	C15orf56_sg1	1
C15orf56	C15orf56_sg2	1
C15orf56	C15orf56_sg3	1
C15orf56	C15orf56_sg4	1
C15orf60	C15orf60_sg1	1
C15orf60	C15orf60_sg2	1
C15orf60	C15orf60_sg3	1
C15orf60	C15orf60_sg4	1
C16orf52	C16orf52_sg1	1
C16orf52	C16orf52_sg2	1
C16orf52	C16orf52_sg3	1
C16orf52	C16orf52_sg4	1
C16orf55	C16orf55_sg1	1
C16orf55	C16orf55_sg2	1
C16orf55	C16orf55_sg3	1
C16orf55	C16orf55_sg4	1
C16orf58	C16orf58_sg1	1
C16orf58	C16orf58_sg2	1
C16orf58	C16orf58_sg3	1
C16orf58	C16orf58_sg4	1
C16orf59	C16orf59_sg1	1
C16orf59	C16orf59_sg2	1
C16orf59	C16orf59_sg3	1
C16orf59	C16orf59_sg4	1
C16orf71	C16orf71_sg1	1
C16orf71	C16orf71_sg2	1
C16orf71	C16orf71_sg3	1
C16orf71	C16orf71_sg4	1
C16orf86	C16orf86_sg1	1
C16orf86	C16orf86_sg2	1
C16orf86	C16orf86_sg3	1
C16orf86	C16orf86_sg4	1
C16orf93	C16orf93_sg1	1
C16orf93	C16orf93_sg2	1
C16orf93	C16orf93_sg3	1
C16orf93	C16orf93_sg4	1
C16orf96	C16orf96_sg1	1
C16orf96	C16orf96_sg2	1
C16orf96	C16orf96_sg3	1
C16orf96	C16orf96_sg4	1
C16orf97	C16orf97_sg1	1
C16orf97	C16orf97_sg2	1
C16orf97	C16orf97_sg3	1
C16orf97	C16orf97_sg4	1
C17orf104	C17orf104_sg1	1
C17orf104	C17orf104_sg2	1
C17orf104	C17orf104_sg3	1
C17orf104	C17orf104_sg4	1
C17orf107	C17orf107_sg1	1
C17orf107	C17orf107_sg2	1
C17orf107	C17orf107_sg3	1
C17orf107	C17orf107_sg4	1
C17orf49	C17orf49_sg1	1
C17orf49	C17orf49_sg2	1
C17orf49	C17orf49_sg3	1
C17orf49	C17orf49_sg4	1
C17orf62	C17orf62_sg1	1
C17orf62	C17orf62_sg2	1
C17orf62	C17orf62_sg3	1
C17orf62	C17orf62_sg4	1
C17orf64	C17orf64_sg1	1
C17orf64	C17orf64_sg2	1
C17orf64	C17orf64_sg3	1
C17orf64	C17orf64_sg4	1
C17orf67	C17orf67_sg1	1
C17orf67	C17orf67_sg2	1
C17orf67	C17orf67_sg3	1
C17orf67	C17orf67_sg4	1
C17orf72	C17orf72_sg1	1
C17orf72	C17orf72_sg2	1
C17orf72	C17orf72_sg3	1
C17orf72	C17orf72_sg4	1
C17orf74	C17orf74_sg1	1
C17orf74	C17orf74_sg2	1
C17orf74	C17orf74_sg3	1
C17orf74	C17orf74_sg4	1
C17orf80	C17orf80_sg1	1
C17orf80	C17orf80_sg2	1
C17orf80	C17orf80_sg3	1
C17orf80	C17orf80_sg4	1
C17orf82	C17orf82_sg1	1
C17orf82	C17orf82_sg2	1
C17orf82	C17orf82_sg3	1
C17orf82	C17orf82_sg4	1
C17orf85	C17orf85_sg1	1
C17orf85	C17orf85_sg2	1
C17orf85	C17orf85_sg3	1
C17orf85	C17orf85_sg4	1
C18orf21	C18orf21_sg1	1
C18orf21	C18orf21_sg2	1
C18orf21	C18orf21_sg3	1
C18orf21	C18orf21_sg4	1
C18orf25	C18orf25_sg1	1
C18orf25	C18orf25_sg2	1
C18orf25	C18orf25_sg3	1
C18orf25	C18orf25_sg4	1
C18orf54	C18orf54_sg1	1
C18orf54	C18orf54_sg2	1
C18orf54	C18orf54_sg3	1
C18orf54	C18orf54_sg4	1
C19orf10	C19orf10_sg1	1
C19orf10	C19orf10_sg2	1
C19orf10	C19orf10_sg3	1
C19orf10	C19orf10_sg4	1
C19orf24	C19orf24_sg1	1
C19orf24	C19orf24_sg2	1
C19orf24	C19orf24_sg3	1
C19orf24	C19orf24_sg4	1
C19orf25	C19orf25_sg1	1
C19orf25	C19orf25_sg2	1
C19orf25	C19orf25_sg3	1
C19orf25	C19orf25_sg4	1
C19orf33	C19orf33_sg1	1
C19orf33	C19orf33_sg2	1
C19orf33	C19orf33_sg3	1
C19orf33	C19orf33_sg4	1
C19orf35	C19orf35_sg1	1
C19orf35	C19orf35_sg2	1
C19orf35	C19orf35_sg3	1
C19orf35	C19orf35_sg4	1
C19orf38	C19orf38_sg1	1
C19orf38	C19orf38_sg2	1
C19orf38	C19orf38_sg3	1
C19orf38	C19orf38_sg4	1
C19orf40	C19orf40_sg1	1
C19orf40	C19orf40_sg2	1
C19orf40	C19orf40_sg3	1
C19orf40	C19orf40_sg4	1
C19orf45	C19orf45_sg1	1
C19orf45	C19orf45_sg2	1
C19orf45	C19orf45_sg3	1
C19orf45	C19orf45_sg4	1
C19orf55	C19orf55_sg1	1
C19orf55	C19orf55_sg2	1
C19orf55	C19orf55_sg3	1
C19orf55	C19orf55_sg4	1
C19orf59	C19orf59_sg1	1
C19orf59	C19orf59_sg2	1
C19orf59	C19orf59_sg3	1
C19orf59	C19orf59_sg4	1
C19orf70	C19orf70_sg1	1
C19orf70	C19orf70_sg2	1
C19orf70	C19orf70_sg3	1
C19orf70	C19orf70_sg4	1
C19orf80	C19orf80_sg1	1
C19orf80	C19orf80_sg2	1
C19orf80	C19orf80_sg3	1
C19orf80	C19orf80_sg4	1
C19orf81	C19orf81_sg1	1
C19orf81	C19orf81_sg2	1
C19orf81	C19orf81_sg3	1
C19orf81	C19orf81_sg4	1
C1orf101	C1orf101_sg1	1
C1orf101	C1orf101_sg2	1
C1orf101	C1orf101_sg3	1
C1orf101	C1orf101_sg4	1
C1orf109	C1orf109_sg1	1
C1orf109	C1orf109_sg2	1
C1orf109	C1orf109_sg3	1
C1orf109	C1orf109_sg4	1
C1orf112	C1orf112_sg1	1
C1orf112	C1orf112_sg2	1
C1orf112	C1orf112_sg3	1
C1orf112	C1orf112_sg4	1
C1orf158	C1orf158_sg1	1
C1orf158	C1orf158_sg2	1
C1orf158	C1orf158_sg3	1
C1orf158	C1orf158_sg4	1
C1orf162	C1orf162_sg1	1
C1orf162	C1orf162_sg2	1
C1orf162	C1orf162_sg3	1
C1orf162	C1orf162_sg4	1
C1orf168	C1orf168_sg1	1
C1orf168	C1orf168_sg2	1
C1orf168	C1orf168_sg3	1
C1orf168	C1orf168_sg4	1
C1orf172	C1orf172_sg1	1
C1orf172	C1orf172_sg2	1
C1orf172	C1orf172_sg3	1
C1orf172	C1orf172_sg4	1
C1orf173	C1orf173_sg1	1
C1orf173	C1orf173_sg2	1
C1orf173	C1orf173_sg3	1
C1orf173	C1orf173_sg4	1
C1orf174	C1orf174_sg1	1
C1orf174	C1orf174_sg2	1
C1orf174	C1orf174_sg3	1
C1orf174	C1orf174_sg4	1
C1orf177	C1orf177_sg1	1
C1orf177	C1orf177_sg2	1
C1orf177	C1orf177_sg3	1
C1orf177	C1orf177_sg4	1
C1orf186	C1orf186_sg1	1
C1orf186	C1orf186_sg2	1
C1orf186	C1orf186_sg3	1
C1orf186	C1orf186_sg4	1
C1orf189	C1orf189_sg1	1
C1orf189	C1orf189_sg2	1
C1orf189	C1orf189_sg3	1
C1orf189	C1orf189_sg4	1
C1orf192	C1orf192_sg1	1
C1orf192	C1orf192_sg2	1
C1orf192	C1orf192_sg3	1
C1orf192	C1orf192_sg4	1
C1orf21	C1orf21_sg1	1
C1orf21	C1orf21_sg2	1
C1orf21	C1orf21_sg3	1
C1orf21	C1orf21_sg4	1
C1orf210	C1orf210_sg1	1
C1orf210	C1orf210_sg2	1
C1orf210	C1orf210_sg3	1
C1orf210	C1orf210_sg4	1
C1orf216	C1orf216_sg1	1
C1orf216	C1orf216_sg2	1
C1orf216	C1orf216_sg3	1
C1orf216	C1orf216_sg4	1
C1orf227	C1orf227_sg1	1
C1orf227	C1orf227_sg2	1
C1orf227	C1orf227_sg3	1
C1orf227	C1orf227_sg4	1
C1orf228	C1orf228_sg1	1
C1orf228	C1orf228_sg2	1
C1orf228	C1orf228_sg3	1
C1orf228	C1orf228_sg4	1
C1orf233	C1orf233_sg1	1
C1orf233	C1orf233_sg2	1
C1orf233	C1orf233_sg3	1
C1orf233	C1orf233_sg4	1
C1orf50	C1orf50_sg1	1
C1orf50	C1orf50_sg2	1
C1orf50	C1orf50_sg3	1
C1orf50	C1orf50_sg4	1
C1orf51	C1orf51_sg1	1
C1orf51	C1orf51_sg2	1
C1orf51	C1orf51_sg3	1
C1orf51	C1orf51_sg4	1
C1orf52	C1orf52_sg1	1
C1orf52	C1orf52_sg2	1
C1orf52	C1orf52_sg3	1
C1orf52	C1orf52_sg4	1
C1orf56	C1orf56_sg1	1
C1orf56	C1orf56_sg2	1
C1orf56	C1orf56_sg3	1
C1orf56	C1orf56_sg4	1
C1orf61	C1orf61_sg1	1
C1orf61	C1orf61_sg2	1
C1orf61	C1orf61_sg3	1
C1orf61	C1orf61_sg4	1
C1orf63	C1orf63_sg1	1
C1orf63	C1orf63_sg2	1
C1orf63	C1orf63_sg3	1
C1orf63	C1orf63_sg4	1
C1orf74	C1orf74_sg1	1
C1orf74	C1orf74_sg2	1
C1orf74	C1orf74_sg3	1
C1orf74	C1orf74_sg4	1
C1orf85	C1orf85_sg1	1
C1orf85	C1orf85_sg2	1
C1orf85	C1orf85_sg3	1
C1orf85	C1orf85_sg4	1
C1orf94	C1orf94_sg1	1
C1orf94	C1orf94_sg2	1
C1orf94	C1orf94_sg3	1
C1orf94	C1orf94_sg4	1
C1orf95	C1orf95_sg1	1
C1orf95	C1orf95_sg2	1
C1orf95	C1orf95_sg3	1
C1orf95	C1orf95_sg4	1
C20orf112	C20orf112_sg1	1
C20orf112	C20orf112_sg2	1
C20orf112	C20orf112_sg3	1
C20orf112	C20orf112_sg4	1
C20orf194	C20orf194_sg1	1
C20orf194	C20orf194_sg2	1
C20orf194	C20orf194_sg3	1
C20orf194	C20orf194_sg4	1
C20orf78	C20orf78_sg1	1
C20orf78	C20orf78_sg2	1
C20orf78	C20orf78_sg3	1
C20orf78	C20orf78_sg4	1
C20orf96	C20orf96_sg1	1
C20orf96	C20orf96_sg2	1
C20orf96	C20orf96_sg3	1
C20orf96	C20orf96_sg4	1
C21orf2	C21orf2_sg1	1
C21orf2	C21orf2_sg2	1
C21orf2	C21orf2_sg3	1
C21orf2	C21orf2_sg4	1
C21orf58	C21orf58_sg1	1
C21orf58	C21orf58_sg2	1
C21orf58	C21orf58_sg3	1
C21orf58	C21orf58_sg4	1
C21orf59	C21orf59_sg1	1
C21orf59	C21orf59_sg2	1
C21orf59	C21orf59_sg3	1
C21orf59	C21orf59_sg4	1
C21orf91	C21orf91_sg1	1
C21orf91	C21orf91_sg2	1
C21orf91	C21orf91_sg3	1
C21orf91	C21orf91_sg4	1
C22orf15	C22orf15_sg1	1
C22orf15	C22orf15_sg2	1
C22orf15	C22orf15_sg3	1
C22orf15	C22orf15_sg4	1
C22orf23	C22orf23_sg1	1
C22orf23	C22orf23_sg2	1
C22orf23	C22orf23_sg3	1
C22orf23	C22orf23_sg4	1
C22orf26	C22orf26_sg1	1
C22orf26	C22orf26_sg2	1
C22orf26	C22orf26_sg3	1
C22orf26	C22orf26_sg4	1
C22orf31	C22orf31_sg1	1
C22orf31	C22orf31_sg2	1
C22orf31	C22orf31_sg3	1
C22orf31	C22orf31_sg4	1
C22orf43	C22orf43_sg1	1
C22orf43	C22orf43_sg2	1
C22orf43	C22orf43_sg3	1
C22orf43	C22orf43_sg4	1
C2CD2	C2CD2_sg1	1
C2CD2	C2CD2_sg2	1
C2CD2	C2CD2_sg3	1
C2CD2	C2CD2_sg4	1
C2CD4B	C2CD4B_sg1	1
C2CD4B	C2CD4B_sg2	1
C2CD4B	C2CD4B_sg3	1
C2CD4B	C2CD4B_sg4	1
C2orf15	C2orf15_sg1	1
C2orf15	C2orf15_sg2	1
C2orf15	C2orf15_sg3	1
C2orf15	C2orf15_sg4	1
C2orf42	C2orf42_sg1	1
C2orf42	C2orf42_sg2	1
C2orf42	C2orf42_sg3	1
C2orf42	C2orf42_sg4	1
C2orf49	C2orf49_sg1	1
C2orf49	C2orf49_sg2	1
C2orf49	C2orf49_sg3	1
C2orf49	C2orf49_sg4	1
C2orf53	C2orf53_sg1	1
C2orf53	C2orf53_sg2	1
C2orf53	C2orf53_sg3	1
C2orf53	C2orf53_sg4	1
C2orf73	C2orf73_sg1	1
C2orf73	C2orf73_sg2	1
C2orf73	C2orf73_sg3	1
C2orf73	C2orf73_sg4	1
C2orf78	C2orf78_sg1	1
C2orf78	C2orf78_sg2	1
C2orf78	C2orf78_sg3	1
C2orf78	C2orf78_sg4	1
C2orf82	C2orf82_sg1	1
C2orf82	C2orf82_sg2	1
C2orf82	C2orf82_sg3	1
C2orf82	C2orf82_sg4	1
C3orf20	C3orf20_sg1	1
C3orf20	C3orf20_sg2	1
C3orf20	C3orf20_sg3	1
C3orf20	C3orf20_sg4	1
C3orf30	C3orf30_sg1	1
C3orf30	C3orf30_sg2	1
C3orf30	C3orf30_sg3	1
C3orf30	C3orf30_sg4	1
C3orf33	C3orf33_sg1	1
C3orf33	C3orf33_sg2	1
C3orf33	C3orf33_sg3	1
C3orf33	C3orf33_sg4	1
C3orf67	C3orf67_sg1	1
C3orf67	C3orf67_sg2	1
C3orf67	C3orf67_sg3	1
C3orf67	C3orf67_sg4	1
C3orf72	C3orf72_sg1	1
C3orf72	C3orf72_sg2	1
C3orf72	C3orf72_sg3	1
C3orf72	C3orf72_sg4	1
C4orf21	C4orf21_sg1	1
C4orf21	C4orf21_sg2	1
C4orf21	C4orf21_sg3	1
C4orf21	C4orf21_sg4	1
C4orf27	C4orf27_sg1	1
C4orf27	C4orf27_sg2	1
C4orf27	C4orf27_sg3	1
C4orf27	C4orf27_sg4	1
C4orf33	C4orf33_sg1	1
C4orf33	C4orf33_sg2	1
C4orf33	C4orf33_sg3	1
C4orf33	C4orf33_sg4	1
C4orf36	C4orf36_sg1	1
C4orf36	C4orf36_sg2	1
C4orf36	C4orf36_sg3	1
C4orf36	C4orf36_sg4	1
C4orf6	C4orf6_sg1	1
C4orf6	C4orf6_sg2	1
C4orf6	C4orf6_sg3	1
C4orf6	C4orf6_sg4	1
C5orf34	C5orf34_sg1	1
C5orf34	C5orf34_sg2	1
C5orf34	C5orf34_sg3	1
C5orf34	C5orf34_sg4	1
C5orf45	C5orf45_sg1	1
C5orf45	C5orf45_sg2	1
C5orf45	C5orf45_sg3	1
C5orf45	C5orf45_sg4	1
C5orf46	C5orf46_sg1	1
C5orf46	C5orf46_sg2	1
C5orf46	C5orf46_sg3	1
C5orf46	C5orf46_sg4	1
C5orf48	C5orf48_sg1	1
C5orf48	C5orf48_sg2	1
C5orf48	C5orf48_sg3	1
C5orf48	C5orf48_sg4	1
C5orf54	C5orf54_sg1	1
C5orf54	C5orf54_sg2	1
C5orf54	C5orf54_sg3	1
C5orf54	C5orf54_sg4	1
C6orf10	C6orf10_sg1	1
C6orf10	C6orf10_sg2	1
C6orf10	C6orf10_sg3	1
C6orf10	C6orf10_sg4	1
C6orf106	C6orf106_sg1	1
C6orf106	C6orf106_sg2	1
C6orf106	C6orf106_sg3	1
C6orf106	C6orf106_sg4	1
C6orf118	C6orf118_sg1	1
C6orf118	C6orf118_sg2	1
C6orf118	C6orf118_sg3	1
C6orf118	C6orf118_sg4	1
C6orf132	C6orf132_sg1	1
C6orf132	C6orf132_sg2	1
C6orf132	C6orf132_sg3	1
C6orf132	C6orf132_sg4	1
C6orf201	C6orf201_sg1	1
C6orf201	C6orf201_sg2	1
C6orf201	C6orf201_sg3	1
C6orf201	C6orf201_sg4	1
C6orf211	C6orf211_sg1	1
C6orf211	C6orf211_sg2	1
C6orf211	C6orf211_sg3	1
C6orf211	C6orf211_sg4	1
C6orf223	C6orf223_sg1	1
C6orf223	C6orf223_sg2	1
C6orf223	C6orf223_sg3	1
C6orf223	C6orf223_sg4	1
C6orf48	C6orf48_sg1	1
C6orf48	C6orf48_sg2	1
C6orf48	C6orf48_sg3	1
C6orf48	C6orf48_sg4	1
C6orf52	C6orf52_sg1	1
C6orf52	C6orf52_sg2	1
C6orf52	C6orf52_sg3	1
C6orf52	C6orf52_sg4	1
C6orf57	C6orf57_sg1	1
C6orf57	C6orf57_sg2	1
C6orf57	C6orf57_sg3	1
C6orf57	C6orf57_sg4	1
C6orf62	C6orf62_sg1	1
C6orf62	C6orf62_sg2	1
C6orf62	C6orf62_sg3	1
C6orf62	C6orf62_sg4	1
C6orf99	C6orf99_sg1	1
C6orf99	C6orf99_sg2	1
C6orf99	C6orf99_sg3	1
C6orf99	C6orf99_sg4	1
C7orf10	C7orf10_sg1	1
C7orf10	C7orf10_sg2	1
C7orf10	C7orf10_sg3	1
C7orf10	C7orf10_sg4	1
C7orf25	C7orf25_sg1	1
C7orf25	C7orf25_sg2	1
C7orf25	C7orf25_sg3	1
C7orf25	C7orf25_sg4	1
C7orf29	C7orf29_sg1	1
C7orf29	C7orf29_sg2	1
C7orf29	C7orf29_sg3	1
C7orf29	C7orf29_sg4	1
C7orf43	C7orf43_sg1	1
C7orf43	C7orf43_sg2	1
C7orf43	C7orf43_sg3	1
C7orf43	C7orf43_sg4	1
C7orf49	C7orf49_sg1	1
C7orf49	C7orf49_sg2	1
C7orf49	C7orf49_sg3	1
C7orf49	C7orf49_sg4	1
C7orf50	C7orf50_sg1	1
C7orf50	C7orf50_sg2	1
C7orf50	C7orf50_sg3	1
C7orf50	C7orf50_sg4	1
C7orf55	C7orf55_sg1	1
C7orf55	C7orf55_sg2	1
C7orf55	C7orf55_sg3	1
C7orf55	C7orf55_sg4	1
C8orf22	C8orf22_sg1	1
C8orf22	C8orf22_sg2	1
C8orf22	C8orf22_sg3	1
C8orf22	C8orf22_sg4	1
C8orf34	C8orf34_sg1	1
C8orf34	C8orf34_sg2	1
C8orf34	C8orf34_sg3	1
C8orf34	C8orf34_sg4	1
C8orf37	C8orf37_sg1	1
C8orf37	C8orf37_sg2	1
C8orf37	C8orf37_sg3	1
C8orf37	C8orf37_sg4	1
C8orf42	C8orf42_sg1	1
C8orf42	C8orf42_sg2	1
C8orf42	C8orf42_sg3	1
C8orf42	C8orf42_sg4	1
C8orf44	C8orf44_sg1	1
C8orf44	C8orf44_sg2	1
C8orf44	C8orf44_sg3	1
C8orf44	C8orf44_sg4	1
C8orf46	C8orf46_sg1	1
C8orf46	C8orf46_sg2	1
C8orf46	C8orf46_sg3	1
C8orf46	C8orf46_sg4	1
C8orf47	C8orf47_sg1	1
C8orf47	C8orf47_sg2	1
C8orf47	C8orf47_sg3	1
C8orf47	C8orf47_sg4	1
C8orf74	C8orf74_sg1	1
C8orf74	C8orf74_sg2	1
C8orf74	C8orf74_sg3	1
